modelChain;NumberOfHits;SequenceHit;AlignmentScore;targetFastaNumber;fastaType
Fy;2;tr|A0A640KHE9|A0A640KHE9_LEITA;86.06375885009766;1;protein
J;-;-;-;-;-
Bj;-;-;-;-;-
E8;-;-;-;-;-
Dq;-;-;-;-;-
d;-;-;-;-;-
Fa;-;-;-;-;-
Br;-;-;-;-;-
Al;-;-;-;-;-
Fm;-;-;-;-;-
Es;1;tr|A0A640KHR7|A0A640KHR7_LEITA;181.5655975341797;1;protein
Cp;-;-;-;-;-
F5;-;-;-;-;-
7;-;-;-;-;-
B0;-;-;-;-;-
DT;-;-;-;-;-
GJ;-;-;-;-;-
CY;-;-;-;-;-
EZ;-;-;-;-;-
AI;-;-;-;-;-
F7;-;-;-;-;-
B2;-;-;-;-;-
BW;-;-;-;-;-
FD;-;-;-;-;-
f;-;-;-;-;-
EV;-;-;-;-;-
AE;-;-;-;-;-
FH;1;tr|A0A640KHW7|A0A640KHW7_LEITA;287.0045471191406;1;protein
DX;-;-;-;-;-
GF;-;-;-;-;-
CU;-;-;-;-;-
BC;-;-;-;-;-
FP;1;tr|A0A640K7R8|A0A640K7R8_LEITA;59.515167236328125;1;protein
EN;-;-;-;-;-
S;1;tr|A0A640KNR8|A0A640KNR8_LEITA;15.511164665222168;1;protein
H;-;-;-;-;-
CM;-;-;-;-;-
GR;-;-;-;-;-
CA;-;-;-;-;-
DL;-;-;-;-;-
BO;-;-;-;-;-
EB;-;-;-;-;-
AQ;-;-;-;-;-
D3;-;-;-;-;-
0;-;-;-;-;-
Ad;-;-;-;-;-
Ew;-;-;-;-;-
Fi;1;tr|A0A640KES0|A0A640KES0_LEITA;37.233863830566406;1;protein
Bz;-;-;-;-;-
Dy;-;-;-;-;-
B5;-;-;-;-;-
F0;-;-;-;-;-
Ct;-;-;-;-;-
Du;-;-;-;-;-
a;1;tr|A0A640K7R8|A0A640K7R8_LEITA;131.66555786132812;1;protein
Cx;-;-;-;-;-
A8;-;-;-;-;-
Ah;-;-;-;-;-
Fe;-;-;-;-;-
Bv;-;-;-;-;-
z;-;-;-;-;-
Dm;-;-;-;-;-
T;-;-;-;-;-
O;-;-;-;-;-
Bn;-;-;-;-;-
Ap;-;-;-;-;-
Ec;-;-;-;-;-
Fq;-;-;-;-;-
Bb;-;-;-;-;-
Eo;-;-;-;-;-
Cl;-;-;-;-;-
D4;-;-;-;-;-
Da;-;-;-;-;-
DH;-;-;-;-;-
CE;-;-;-;-;-
EF;-;-;-;-;-
AU;-;-;-;-;-
D6;-;-;-;-;-
BK;-;-;-;-;-
FX;1;LtaP08.0840.mRNA;187.02276611328125;2;protein
EJ;-;-;-;-;-
AY;-;-;-;-;-
V;-;-;-;-;-
BG;-;-;-;-;-
FT;-;-;-;-;-
DD;-;-;-;-;-
M;-;-;-;-;-
CI;-;-;-;-;-
FL;-;-;-;-;-
c;-;-;-;-;-
ER;-;-;-;-;-
AA;-;-;-;-;-
GB;-;-;-;-;-
CQ;-;-;-;-;-
x;-;-;-;-;-
GN;-;-;-;-;-
DP;-;-;-;-;-
BS;-;-;-;-;-
AM;-;-;-;-;-
B7;-;-;-;-;-
F2;-;-;-;-;-
DF;-;-;-;-;-
CK;-;-;-;-;-
g;-;-;-;-;-
EH;-;-;-;-;-
BE;-;-;-;-;-
FV;-;-;-;-;-
ED;-;-;-;-;-
AW;-;-;-;-;-
B3;-;-;-;-;-
F6;-;-;-;-;-
BI;-;-;-;-;-
FZ;-;-;-;-;-
DJ;-;-;-;-;-
GT;1;tr|A0A640KES0|A0A640KES0_LEITA;138.97183227539062;1;protein
CG;-;-;-;-;-
BQ;-;-;-;-;-
FB;-;-;-;-;-
AO;-;-;-;-;-
D2;-;-;-;-;-
GL;-;-;-;-;-
DR;-;-;-;-;-
I;-;-;-;-;-
CS;-;-;-;-;-
FN;-;-;-;-;-
EP;-;-;-;-;-
AC;-;-;-;-;-
R;-;-;-;-;-
Aj;-;-;-;-;-
Ey;-;-;-;-;-
Fg;-;-;-;-;-
K;-;-;-;-;-
Bt;-;-;-;-;-
Dw;-;-;-;-;-
P;1;tr|A0A640KQ33|A0A640KQ33_LEITA;10.914067268371582;1;protein
Cz;-;-;-;-;-
C8;-;-;-;-;-
D0;-;-;-;-;-
Cv;-;-;-;-;-
Af;-;-;-;-;-
Eu;-;-;-;-;-
Fk;1;LtaP08.0840.mRNA;14.091702461242676;2;protein
Bx;-;-;-;-;-
Cn;-;-;-;-;-
Dc;-;-;-;-;-
B1;-;-;-;-;-
F4;-;-;-;-;-
Fs;-;-;-;-;-
Em;-;-;-;-;-
Bl;-;-;-;-;-
Ar;-;-;-;-;-
Ea;-;-;-;-;-
Cb;-;-;-;-;-
E9;-;-;-;-;-
Do;-;-;-;-;-
e;-;-;-;-;-
1;-;-;-;-;-
Ac;-;-;-;-;-
Ep;1;tr|A0A640KWP2|A0A640KWP2_LEITA;19.592761993408203;1;protein
r;-;-;-;-;-
Fn;-;-;-;-;-
E5;-;-;-;-;-
A0;-;-;-;-;-
i;-;-;-;-;-
Cs;-;-;-;-;-
Dr;-;-;-;-;-
F8;-;-;-;-;-
Ao;-;-;-;-;-
Fb;-;-;-;-;-
Bq;-;-;-;-;-
Cg;-;-;-;-;-
Dj;-;-;-;-;-
Fz;1;tr|A0A640KHE9|A0A640KHE9_LEITA;100.18083190917969;1;protein
Bi;-;-;-;-;-
Aw;-;-;-;-;-
Ed;-;-;-;-;-
Fv;-;-;-;-;-
Be;-;-;-;-;-
G;-;-;-;-;-
Eh;-;-;-;-;-
Ck;-;-;-;-;-
Df;-;-;-;-;-
2;-;-;-;-;-
C4;-;-;-;-;-
E;-;-;-;-;-
DO;-;-;-;-;-
GQ;-;-;-;-;-
CB;-;-;-;-;-
C6;-;-;-;-;-
EA;-;-;-;-;-
AR;-;-;-;-;-
BL;-;-;-;-;-
EM;-;-;-;-;-
FS;1;tr|A0A640KWP2|A0A640KWP2_LEITA;38.62226104736328;1;protein
DC;-;-;-;-;-
CN;-;-;-;-;-
BX;-;-;-;-;-
FK;-;-;-;-;-
EU;-;-;-;-;-
AF;-;-;-;-;-
GE;-;-;-;-;-
CV;-;-;-;-;-
GI;-;-;-;-;-
CZ;-;-;-;-;-
p;-;-;-;-;-
DW;-;-;-;-;-
BT;-;-;-;-;-
k;-;-;-;-;-
FG;-;-;-;-;-
E7;1;tr|A0A640KJQ9|A0A640KJQ9_LEITA;123.49485778808594;1;protein
A2;-;-;-;-;-
EY;-;-;-;-;-
AJ;-;-;-;-;-
DA;-;-;-;-;-
CL;-;-;-;-;-
EO;-;-;-;-;-
BB;-;-;-;-;-
FQ;-;-;-;-;-
E3;-;-;-;-;-
A6;-;-;-;-;-
EC;-;-;-;-;-
AP;-;-;-;-;-
BN;-;-;-;-;-
o;-;-;-;-;-
t;-;-;-;-;-
DM;-;-;-;-;-
GS;-;-;-;-;-
Z;1;tr|A0A640K7V4|A0A640K7V4_LEITA;7.463280200958252;1;protein
BV;-;-;-;-;-
FE;-;-;-;-;-
C2;-;-;-;-;-
AH;-;-;-;-;-
GK;-;-;-;-;-
CX;-;-;-;-;-
A;-;-;-;-;-
DU;-;-;-;-;-
GG;-;-;-;-;-
CT;-;-;-;-;-
DY;-;-;-;-;-
BZ;-;-;-;-;-
FI;-;-;-;-;-
EW;-;-;-;-;-
AD;-;-;-;-;-
Am;-;-;-;-;-
3;-;-;-;-;-
Bs;-;-;-;-;-
Dp;-;-;-;-;-
D8;-;-;-;-;-
C0;-;-;-;-;-
Cq;-;-;-;-;-
X;-;-;-;-;-
C;-;-;-;-;-
Aa;-;-;-;-;-
Er;2;tr|A0A640K890|A0A640K890_LEITA;150.49497985839844;1;protein
Fl;-;-;-;-;-
m;-;-;-;-;-
Ci;-;-;-;-;-
E1;-;-;-;-;-
A4;-;-;-;-;-
Dd;-;-;-;-;-
Ft;-;-;-;-;-
Bg;-;-;-;-;-
Ay;-;-;-;-;-
Ej;1;tr|A0A640KX21|A0A640KX21_LEITA;6.518901824951172;1;protein
v;-;-;-;-;-
Fx;-;-;-;-;-
Bk;-;-;-;-;-
Au;-;-;-;-;-
Ef;-;-;-;-;-
B9;-;-;-;-;-
Ce;-;-;-;-;-
Dh;-;-;-;-;-
GC;-;-;-;-;-
CP;-;-;-;-;-
ES;-;-;-;-;-
FM;-;-;-;-;-
C7;-;-;-;-;-
AL;-;-;-;-;-
BR;-;-;-;-;-
FA;-;-;-;-;-
D;-;-;-;-;-
DQ;-;-;-;-;-
GO;-;-;-;-;-
j;-;-;-;-;-
BJ;-;-;-;-;-
FY;-;-;-;-;-
A3;-;-;-;-;-
E6;1;tr|A0A640KRB4|A0A640KRB4_LEITA;8.186432838439941;1;protein
EG;-;-;-;-;-
AT;-;-;-;-;-
CD;-;-;-;-;-
q;-;-;-;-;-
DI;-;-;-;-;-
CH;-;-;-;-;-
DE;-;-;-;-;-
BF;-;-;-;-;-
FU;-;-;-;-;-
8;-;-;-;-;-
EK;-;-;-;-;-
AX;-;-;-;-;-
Aq;-;-;-;-;-
Eb;-;-;-;-;-
Bo;-;-;-;-;-
Dl;-;-;-;-;-
F9;1;tr|A0A640KSU1|A0A640KSU1_LEITA;162.64437866210938;1;protein
Ca;-;-;-;-;-
A1;-;-;-;-;-
E4;1;tr|A0A640KJ33|A0A640KJ33_LEITA;175.88973999023438;1;protein
h;-;-;-;-;-
Cm;-;-;-;-;-
En;-;-;-;-;-
s;-;-;-;-;-
Fp;-;-;-;-;-
Bc;-;-;-;-;-
Cu;-;-;-;-;-
Dx;-;-;-;-;-
C5;-;-;-;-;-
Fh;-;-;-;-;-
F;-;-;-;-;-
Ae;-;-;-;-;-
Ev;1;tr|A0A640KLU7|A0A640KLU7_LEITA;1037.8524169921875;1;protein
Fd;-;-;-;-;-
Bw;-;-;-;-;-
Ai;-;-;-;-;-
Ez;-;-;-;-;-
Cy;-;-;-;-;-
4;-;-;-;-;-
Dt;-;-;-;-;-
5;-;-;-;-;-
B;-;-;-;-;-
El;1;tr|A0A640KSG2|A0A640KSG2_LEITA;107.01579284667969;1;protein
Fr;-;-;-;-;-
Ba;-;-;-;-;-
Db;-;-;-;-;-
C1;-;-;-;-;-
Co;-;-;-;-;-
Y;1;tr|A0A640KJ33|A0A640KJ33_LEITA;195.7742462158203;1;protein
Dn;-;-;-;-;-
D9;-;-;-;-;-
Cc;-;-;-;-;-
As;-;-;-;-;-
Bm;-;-;-;-;-
B8;-;-;-;-;-
Dv;-;-;-;-;-
Ff;-;-;-;-;-
Bu;-;-;-;-;-
Ak;-;-;-;-;-
Ex;-;-;-;-;-
Fj;-;-;-;-;-
By;-;-;-;-;-
Ag;-;-;-;-;-
Et;-;-;-;-;-
w;-;-;-;-;-
l;-;-;-;-;-
Cw;-;-;-;-;-
A5;-;-;-;-;-
E0;-;-;-;-;-
Dz;-;-;-;-;-
u;-;-;-;-;-
DS;-;-;-;-;-
9;-;-;-;-;-
GM;-;-;-;-;-
A7;-;-;-;-;-
E2;-;-;-;-;-
AN;-;-;-;-;-
n;-;-;-;-;-
BP;-;-;-;-;-
FC;-;-;-;-;-
EQ;-;-;-;-;-
AB;-;-;-;-;-
FO;1;tr|A0A640K890|A0A640K890_LEITA;97.49974060058594;1;protein
GA;-;-;-;-;-
CR;-;-;-;-;-
BD;-;-;-;-;-
FW;-;-;-;-;-
EI;-;-;-;-;-
AZ;-;-;-;-;-
CJ;-;-;-;-;-
DG;-;-;-;-;-
CF;-;-;-;-;-
DK;-;-;-;-;-
BH;-;-;-;-;-
C3;-;-;-;-;-
EE;-;-;-;-;-
AV;-;-;-;-;-
